10,10,10,10,10,10,-1,-1,-1,0.2076271186440678,1
3,10,10,10,10,10,10,10,10,0.3333333333333333,0
10,10,-1,3,10,-1,10,10,-1,0.42857142857142855,0
9,3,10,2,10,3,2,10,10,0.5,0
10,10,-1,10,10,-1,-1,-1,-1,0.4,0
2,10,10,10,10,1,-1,-1,-1,0.3666666666666667,0
3,10,10,9,10,9,-1,-1,-1,0.5,0
10,10,-1,10,10,-1,9,2,-1,0.5,1
10,10,-1,10,10,-1,-1,-1,-1,0.20798319327731093,0
10,10,10,10,10,10,-1,-1,-1,0.21108742004264391,0
10,10,10,10,10,10,-1,-1,-1,0.21153846153846154,0
10,1,-1,10,10,-1,9,10,-1,0.3333333333333333,0
9,10,-1,10,10,-1,10,1,-1,0.3333333333333333,0
9,9,-1,10,10,-1,10,10,-1,0.4166666666666667,0
10,3,-1,10,10,-1,3,2,-1,0.4444444444444444,0
